,masked_product,n,prev_train,Hit@1,Hit@5,MRR
4,RVSZ,11718,0.8694219415076205,0.9924901860385731,1.0,0.9959037378392217
9,K6QO,9803,0.7424481669641632,1.0,1.0,1.0
10,QBOL,2593,0.23455306879033366,0.42229078287697647,1.0,0.7060161974546857
13,J9JW,545,0.04867499656734862,0.7009174311926606,1.0,0.8162079510703364
12,JZ9D,523,0.04891528216394343,0.734225621414914,0.9980879541108987,0.8356277884002549
5,PYUQ,882,0.07459151448578882,0.08049886621315193,0.9965986394557823,0.3822184429327286
0,RIBP,724,0.06110119456268021,0.12292817679558012,0.9682320441988951,0.3597836095764273
8,AHXO,276,0.018501990937800358,0.8804347826086957,0.8985507246376812,0.8914873158479296
15,ECY3,414,0.037827818206782916,0.0,0.855072463768116,0.3180593896173607
14,GHYX,331,0.03096251544693121,0.0,0.770392749244713,0.19766231586473276
7,N2MW,362,0.028765618563778662,0.5883977900552486,0.6104972375690608,0.6351511364632911
6,LJR9,161,0.012151585884937526,0.0,0.422360248447205,0.14868752710367616
1,7POT,136,0.010847178360565701,0.0,0.2426470588235294,0.153991691459252
11,JWFN,102,0.010675545791569409,0.0,0.029411764705882353,0.1613056333644569
2,66FJ,151,0.011636688177948648,0.0,0.006622516556291391,0.0953780031594601
3,SOP4,195,0.014794727447480433,0.0,0.0,0.10153174670142995
